rubro,codigo,descripcion
perfumeria,9541167,pañuelo campanita x6
alfajores,9541188,Casita Dulce alfajor maicena indivual
casita dulce,9541190,Facturas surtidas
alfajores,9541195,Sin Culpa ALFA CAKE con chips
almacen,9541200,Pure maggi
snack,9541201,Quento Salame
lacteos,9541202,Quento Cheddar Chedar
lays,9541203,Quento Jamon Serrano
snack,9541204,Quento Nachos
snack,9541205,Quento mani 60grs
almacen,9541206,Te la Virginia Hierbas Tilo
Cigarrillos,9541209,Marlboro Crafted KS (LM)
chocolates,9541214,Chocolate Nestle meio amargo
chocolates,9541215,Chocolate Nestle Duo
chocolates,9541216,Chocolate Nesle ao leite
vinos,9541220,Las Perdices Partridge cabernet
Krachitos,9541222,mogul palotes extreme sabores
almacen,9541223,Caldo de Verduras MAGGI x2
almacen,9541224,Caldo de Gallina MaGGI
chocolates,9541225,Chocolate Nestle Diplomata
galletitas,9541230,9 DE ORO GRANOLA
alfajores,9541231,alfajor genio nevares blanco 60g
caramelos,9541235,Quento Limon
perfumeria,9541236,Colgate Ultra Blanco
articulos de limpieza,9541237,Talco Algabo clsico
articulos de limpieza,9541238,Ceramicol lustramuebles original
barras cereales,9541242,barritas de cereal muecas 45g
chocolates,9541243,Mecano 45 gr
Generico,9541244,mecano promo x 2
alfajores,9541245,Alfajor Full mani 45 grs
chocolates,9541246,Chocolate full mani 35gr
chocolates,9541247,Chocolate Full mani 160 gr
almacen,9541248,Chupetin Palito de la Selva
chocolates,9541249,Chocolate taza Alteza 90gr
pedrin,9541251,Bialcohol 250 gr
almacen,9541252,Azucar Moyco
Generico,9541253,Zucar ledesma mascabo
perfumeria,9541255,Desodorante dove original
articulos de limpieza,9541257,Cif Ultra Rpido Baño 450 ml
articulos de limpieza,9541258,DEAL fibra esponja
articulos de limpieza,9541259,Vim lavandina en gel original
aderezos,9541260,Danica Salsa Golf
Cigarrillos,9541264,bombones con sabor a frutas
Generico,9541265,Hershey s Tradacional  73% cacau
quilmes,9541266,quilmes ipa 1 litro
perfumeria,9541267,prefume para ropa golden colection
articulos de limpieza,9541268,toallita con ala normal ladysoft
lays,9541271,Quentos mega queso
alfajores,9541277,Conito sin culpa
snack,9541281,Quento signos redes pizza
snack,9541282,Quento palitos salados
snack,9541283,Quentos mani crocante sabor queso
quilmes,9541284,Quilms doble malta lata 473 ml
quilmes,9541285,Patagonia Weisse 410
snack,9541286,Quento asado Criollo
aderezos,9541287,Quentos mostaza
aderezos,9541288,Quentos ketchup
chocolates,9541290,Daqui Max Leche y Mani 120 g
chocolates,9541291,Chocolatin georgalos 8g
agua mineral,9541293,AGUA CALIENTE
vinos,9541297,Dilema  sweet rose
Cigarrillos,9541298,Zedryc sidra natural
bebidas alcoholicas,9541299,Sidra 1888 Rose
barras cereales,9541305,MIX Europeo
snack,9541306,Mix Salado
Generico,9541314,Promo Andesfresquita + quento
alfajores,9541318,budin casita dulce frutos o nueces
Generico,9541320,reliveran medicamineto
pepsi,9541323,pepsi twist black lata
chocolates,9541324,raid tableta caja x24uni
quilmes,9541325,Stella Artois botellita 330
Generico,9541328,MIGRAL medicamentos
coca cola,9541331,Schweppes tonica 310
infuciones,9541333,te vick en sobre
quilmes,9541336,Goyeneche ipa
cervezas,9541337,Goyeneche Apa
cervezas,9541338,Goyeneche Golden
preservativos,9541344,Maxx texturado
lacteos,9541345,Dulce de Leche La Serenisima
quilmes,9541346,Promo pack por 6 stella blanche
cervezas,9541347,Promo pack por 4 andes Fresquita
almacen,9541361,Arroz peleador 500grs
snack,9541362,Quento Papas Picante
agua mineral,9541363,Agua Axis 1.5lt
agua mineral,9541364,Agua Torassoo 500ml
perfumeria,9541365,Repelente STOP VAIS kids
lacteos,9541370,Magdalenas con chip 180 grs
alfajores,9541371,Magdalenas rellenas ccon dulce de leche 200 g
galletitas,9541372,Ganoa Crunchips mini 90g
galletitas,9541373,Gaona Crunchips colores 90g
